,http://183.237.246.14:9931/tsfile/live/1008_1.m3u8
CETV1,http://59.175.19.242:8888/rtp/239.69.1.110:10298
CETV1,http://60.223.186.153:10000/rtp/226.0.2.181:9360
CETV1,http://60.223.186.153:10000/rtp/226.0.2.68:8456
CETV1,http://60.223.72.166:8001/rtp/226.0.2.181:9360
CETV1,http://60.223.72.166:8001/rtp/226.0.2.68:8456
CETV1,http://60.223.72.168:8003/rtp/226.0.2.181:9360
CETV1,http://60.223.72.168:8003/rtp/226.0.2.68:8456
CETV1,http://60.223.72.224:8001/rtp/226.0.2.181:9360
CETV1,http://60.223.72.224:8001/rtp/226.0.2.68:8456
CETV1,http://60.223.90.116:8001/rtp/226.0.2.181:9360
CETV1,http://60.223.90.116:8001/rtp/226.0.2.68:8456
CETV1,http://61.134.215.98:8001/rtp/226.0.2.181:9360
CETV1,http://61.134.215.98:8001/rtp/226.0.2.68:8456
CETV1,http://ynml.es521.cn:7005/051409/
CETV1,http://ynmz.es521.cn:5000/?id=012409
CETV1,http://ynmz.es521.cn:7005/042409/
CETV1BJSD,http://9.9.9.9/live/cetv1/index.m3u8
CETV1HZ,http://9.9.9.9/live/cetv/index.m3u8
CETV1蓝光,http://7.7.8.1/hls/56/index.m3u8
CETV2+,http://10.8.8.250:5000/?id=10505
CETV2,http://114.243.104.69:8821/rtp/239.3.1.54:4120
CETV2,http://114.243.106.175:8821/rtp/239.3.1.54:4120
CETV2,http://114.243.106.222:8821/rtp/239.3.1.54:4120
CETV2,http://114.243.108.185:8821/rtp/239.3.1.54:4120
CETV2,http://114.243.109.190:8821/rtp/239.3.1.54:4120
CETV2,http://114.243.96.158:8821/rtp/239.3.1.54:4120
CETV2,http://114.243.96.196:8821/rtp/239.3.1.54:4120
CETV2,http://114.253.74.208:8686/rtp/239.3.1.54:4120
CETV2,http://118.114.168.248:4455/udp/239.93.0.113:5140
CETV2,http://118.121.58.80:2121/udp/239.93.0.113:5140
CETV2,http://127.0.0.1:17070/main/011505/
CETV2,http://128.1.1.8:17070/main/011505/
CETV2,http://171.119.207.43:6001/rtp/226.0.2.69:8464
CETV2,http://171.217.52.64:1880/udp/239.93.0.113:5140
CETV2,http://171.221.223.79:4443/udp/239.93.0.113:5140
CETV2,http://171.223.215.229:4000/udp/239.93.0.113:5140
CETV2,http://183.11.239.36:808/hls/78/index.m3u8
CETV2,http://219.145.19.212:5554/rtp/239.109.205.48:8320
CETV2,http://220.166.245.152:66/udp/239.93.0.113:5140
CETV2,http://60.223.186.153:10000/rtp/226.0.2.69:8464
CETV2,http://60.223.72.166:8001/rtp/226.0.2.69:8464
CETV2,http://60.223.72.168:8003/rtp/226.0.2.69:8464
CETV2,http://60.223.72.224:8001/rtp/226.0.2.69:8464
CETV2,http://60.223.90.116:8001/rtp/226.0.2.69:8464
CETV2,http://61.134.215.98:8001/rtp/226.0.2.69:8464
CETV2,http://ynml.es521.cn:7005/051505/
CETV2,http://ynmz.es521.cn:5000/?id=012505
CETV2,http://ynmz.es521.cn:7005/042505/
CETV3,http://114.243.104.69:8821/rtp/239.3.1.55:4120
CETV3,http://114.243.106.175:8821/rtp/239.3.1.55:4120
CETV3,http://114.243.106.222:8821/rtp/239.3.1.55:4120
CETV3,http://114.243.108.185:8821/rtp/239.3.1.55:4120
CETV3,http://114.243.109.190:8821/rtp/239.3.1.55:4120
CETV3,http://114.243.96.158:8821/rtp/239.3.1.55:4120
CETV3,http://114.243.96.196:8821/rtp/239.3.1.55:4120
CETV3,http://114.253.74.208:8686/rtp/239.3.1.55:4120
CETV4+,http://10.8.8.250:5000/?id=10506
CETV4,http://114.243.104.69:8821/rtp/239.3.1.56:4120
CETV4,http://114.243.106.175:8821/rtp/239.3.1.56:4120
CETV4,http://114.243.106.222:8821/rtp/239.3.1.56:4120
CETV4,http://114.243.108.185:8821/rtp/239.3.1.56:4120
CETV4,http://114.243.109.190:8821/rtp/239.3.1.56:4120
CETV4,http://114.243.96.158:8821/rtp/239.3.1.56:4120
CETV4,http://114.243.96.196:8821/rtp/239.3.1.56:4120
CETV4,http://114.253.74.208:8686/rtp/239.3.1.56:4120
CETV4,http://118.114.168.248:4455/udp/239.93.0.50:5140
CETV4,http://118.121.58.80:2121/udp/239.93.0.50:5140
CETV4,http://118.212.169.134/PLTV/88888888/224/3221226932/index.m3u8
CETV4,http://127.0.0.1:17070/main/011506/
CETV4,http://128.1.1.8:17070/main/011506/
CETV4,http://171.119.207.43:6001/rtp/226.0.2.70:8472
CETV4,http://171.217.52.64:1880/udp/239.93.0.50:5140
CETV4,http://171.221.223.79:4443/udp/239.93.0.50:5140
CETV4,http://171.223.215.229:4000/udp/239.93.0.50:5140
CETV4,http://183.11.239.36:808/hls/79/index.m3u8
CETV4,http://183.238.248.82:9000/udp/239.21.0.142:3912
CETV4,http://183.238.248.84:9000/udp/239.21.0.142:3912
CETV4,http://219.145.19.212:5554/rtp/239.109.205.49:8328
CETV4,http://219.145.19.212:5554/rtp/239.111.205.169:5140
CETV4,http://220.166.245.152:66/udp/239.93.0.50:5140
CETV4,http://60.223.186.153:10000/rtp/226.0.2.70:8472
CETV4,http://60.223.72.166:8001/rtp/226.0.2.70:8472
CETV4,http://60.223.72.168:8003/rtp/226.0.2.70:8472
CETV4,http://60.223.72.224:8001/rtp/226.0.2.70:8472
CETV4,http://60.223.90.116:8001/rtp/226.0.2.70:8472
CETV4,http://61.134.215.98:8001/rtp/226.0.2.70:8472
CETV4,http://7.7.8.1/hls/125/index.m3u8
CETV4,http://ynml.es521.cn:7005/051506/
CETV4,http://ynmz.es521.cn:5000/?id=012506
CETV4,http://ynmz.es521.cn:7005/042506/
CETV早教,http://183.11.239.36:808/hls/100/index.m3u8
CETV早期教育,http://171.119.207.43:6001/rtp/226.0.2.99:8704
CETV早期教育,http://60.223.186.153:10000/rtp/226.0.2.99:8704
CETV早期教育,http://60.223.72.166:8001/rtp/226.0.2.99:8704
CETV早期教育,http://60.223.72.168:8003/rtp/226.0.2.99:8704
CETV早期教育,http://60.223.72.224:8001/rtp/226.0.2.99:8704
CETV早期教育,http://60.223.90.116:8001/rtp/226.0.2.99:8704
CETV早期教育,http://61.134.215.98:8001/rtp/226.0.2.99:8704
CGTN,http://110.81.150.47:4022/rtp/239.61.2.19:8108
CGTN,http://113.119.160.48:8081/hls/28/index.m3u8
CGTN,http://113.227.0.216:777/hls/14/index.m3u8
CGTN,http://113.81.159.164:58888/udp/239.77.0.45:5146
CGTN,http://113.81.159.164:58888/udp/239.77.1.27:5146
CGTN,http://116.148.121.229:8125/rtp/233.50.201.126:5140
CGTN,http://116.5.238.67:8000/udp/239.77.0.45:5146
CGTN,http://116.5.238.67:8000/udp/239.77.1.27:5146
CGTN,http://117.28.177.45:8605/rtp/239.61.2.19:8108
CGTN,http://120.55.49.231:3095/rtp/233.50.201.126:5140
CGTN,http://120.55.49.231:34599/rtp/233.50.201.126:5140
CGTN,http://120.77.205.62:8087/udp/239.77.0.45:5146
CGTN,http://120.77.205.62:8087/udp/239.77.1.27:5146
CGTN,http://123.97.132.103:18888/rtp/233.50.201.126:5140
CGTN,http://125.125.197.72:8881/rtp/233.50.201.126:5140
CGTN,http://125.125.197.72:8889/rtp/233.50.201.126:5140
CGTN,http://125.125.199.56:8889/rtp/233.50.201.126:5140
CGTN,http://125.125.56.55:8889/rtp/233.50.201.126:5140
CGTN,http://171.221.40.25:808/hls/37/index.m3u8
CGTN,http://219.145.19.212:5554/rtp/239.111.205.32:5140
CGTN,http://223.110.239.200:6610/cntv/live1/n-cctv-9/n-cctv-9/1.m3u8
CGTN,http://27.11.248.130:8009/udp/225.0.4.12:7980
CGTN,http://27.11.57.83:8009/udp/225.0.4.12:7980
CGTN,http://39.130.215.222:6410/gitv_live/G_CCTV-NEWS/G_CCTV-NEWS.m3u8
CGTN,http://59.39.70.214:80/udp/239.77.0.45:5146
CGTN,http://59.39.70.214:80/udp/239.77.1.27:5146
CGTN,http://60.187.128.214:7777/rtp/233.50.201.126:5140
CGTN,http://60.187.197.91:7777/rtp/233.50.201.126:5140
CGTN,http://61.140.124.156:8888/udp/239.77.0.45:5146
CGTN,http://61.140.124.156:8888/udp/239.77.1.27:5146
CGTN,http://61.140.201.112:8028/udp/239.77.0.45:5146
CGTN,http://61.140.201.112:8028/udp/239.77.1.27:5146
CGTN,http://iptv.tvfix.org/hls/cgtnhd.m3u8
