央视频道,#genre#
CCTV世界地理,http://test.tvboxosc.cyou/ipv4_live/4/CCTV世界地理/CCTV
CCTV世界地理,http://test.tvboxosc.cyou/ipv4_live/5/CCTV世界地理/CCTV
CCTV世界地理,http://test.tvboxosc.cyou/ipv4_live/6/CCTV世界地理/CCTV
CCTV世界地理,http://test.tvboxosc.cyou/ipv4_live/7/CCTV世界地理/CCTV
CCTV世界地理,http://test.tvboxosc.cyou/ipv4_live/8/CCTV世界地理/CCTV

卫视频道,#genre#
汕头文旅体育,http://test.tvboxosc.cyou/ipv4_live/1/汕头文旅体育/qita
汕头文旅体育,http://test.tvboxosc.cyou/ipv4_live/2/汕头文旅体育/qita
汕头文旅体育,http://test.tvboxosc.cyou/ipv4_live/3/汕头文旅体育/qita
汕头文旅体育,http://test.tvboxosc.cyou/ipv4_live/4/汕头文旅体育/qita
汕头文旅体育,http://test.tvboxosc.cyou/ipv4_live/5/汕头文旅体育/qita
汕头文旅体育,http://test.tvboxosc.cyou/ipv4_live/6/汕头文旅体育/qita
汕头文旅体育,http://test.tvboxosc.cyou/ipv4_live/7/汕头文旅体育/qita
汕头文旅体育,http://test.tvboxosc.cyou/ipv4_live/8/汕头文旅体育/qita
汕头经济生活,http://test.tvboxosc.cyou/ipv4_live/1/汕头经济生活/qita
汕头经济生活,http://test.tvboxosc.cyou/ipv4_live/2/汕头经济生活/qita
汕头经济生活,http://test.tvboxosc.cyou/ipv4_live/3/汕头经济生活/qita
汕头经济生活,http://test.tvboxosc.cyou/ipv4_live/4/汕头经济生活/qita
汕头经济生活,http://test.tvboxosc.cyou/ipv4_live/5/汕头经济生活/qita
汕头经济生活,http://test.tvboxosc.cyou/ipv4_live/6/汕头经济生活/qita
汕头经济生活,http://test.tvboxosc.cyou/ipv4_live/7/汕头经济生活/qita
汕头经济生活,http://test.tvboxosc.cyou/ipv4_live/8/汕头经济生活/qita
汕头综合,http://test.tvboxosc.cyou/ipv4_live/1/汕头综合/qita
汕头综合,http://test.tvboxosc.cyou/ipv4_live/2/汕头综合/qita
汕头综合,http://test.tvboxosc.cyou/ipv4_live/3/汕头综合/qita
汕头综合,http://test.tvboxosc.cyou/ipv4_live/4/汕头综合/qita
汕头综合,http://test.tvboxosc.cyou/ipv4_live/5/汕头综合/qita
汕头综合,http://test.tvboxosc.cyou/ipv4_live/6/汕头综合/qita
汕头综合,http://test.tvboxosc.cyou/ipv4_live/7/汕头综合/qita
汕头综合,http://test.tvboxosc.cyou/ipv4_live/8/汕头综合/qita

北京卫视,http://test.tvboxosc.cyou/ipv4_live/1/北京卫视/weishi
北京卫视,http://test.tvboxosc.cyou/ipv4_live/2/北京卫视/weishi
北京卫视,http://test.tvboxosc.cyou/ipv4_live/3/北京卫视/weishi
北京卫视,http://test.tvboxosc.cyou/ipv4_live/4/北京卫视/weishi
北京卫视,http://test.tvboxosc.cyou/ipv4_live/5/北京卫视/weishi
北京卫视,http://test.tvboxosc.cyou/ipv4_live/6/北京卫视/weishi
北京卫视,http://test.tvboxosc.cyou/ipv4_live/7/北京卫视/weishi
北京卫视,http://test.tvboxosc.cyou/ipv4_live/8/北京卫视/weishi

广东卫视,http://test.tvboxosc.cyou/ipv4_live/1/广东卫视/weishi
广东卫视,http://test.tvboxosc.cyou/ipv4_live/2/广东卫视/weishi
广东卫视,http://test.tvboxosc.cyou/ipv4_live/3/广东卫视/weishi
广东卫视,http://test.tvboxosc.cyou/ipv4_live/4/广东卫视/weishi
广东卫视,http://test.tvboxosc.cyou/ipv4_live/5/广东卫视/weishi
广东卫视,http://test.tvboxosc.cyou/ipv4_live/6/广东卫视/weishi
广东卫视,http://test.tvboxosc.cyou/ipv4_live/7/广东卫视/weishi
广东卫视,http://test.tvboxosc.cyou/ipv4_live/8/广东卫视/weishi

广西卫视,http://test.tvboxosc.cyou/ipv4_live/1/广西卫视/weishi
广西卫视,http://test.tvboxosc.cyou/ipv4_live/2/广西卫视/weishi
广西卫视,http://test.tvboxosc.cyou/ipv4_live/3/广西卫视/weishi
广西卫视,http://test.tvboxosc.cyou/ipv4_live/4/广西卫视/weishi
广西卫视,http://test.tvboxosc.cyou/ipv4_live/5/广西卫视/weishi
广西卫视,http://test.tvboxosc.cyou/ipv4_live/6/广西卫视/weishi
广西卫视,http://test.tvboxosc.cyou/ipv4_live/7/广西卫视/weishi
广西卫视,http://test.tvboxosc.cyou/ipv4_live/8/广西卫视/weishi

深圳卫视,http://test.tvboxosc.cyou/ipv4_live/1/深圳卫视/weishi
深圳卫视,http://test.tvboxosc.cyou/ipv4_live/2/深圳卫视/weishi
深圳卫视,http://test.tvboxosc.cyou/ipv4_live/3/深圳卫视/weishi
深圳卫视,http://test.tvboxosc.cyou/ipv4_live/4/深圳卫视/weishi
